,teamID,yearID,medianERA,pitcherAverageAge
1430,LAN,1961,4.0,26.583333333333332
1431,LAN,1962,3.0,26.083333333333332
1432,LAN,1963,3.0,26.714285714285715
1433,LAN,1964,3.0,25.714285714285715
1434,LAN,1965,2.0,26.5
1435,LAN,1966,2.0,27.53846153846154
1436,LAN,1967,3.0,27.066666666666666
1437,LAN,1968,2.0,27.571428571428573
1438,LAN,1969,3.0,28.357142857142858
1439,LAN,1970,3.0,27.625
1440,LAN,1971,3.0,28.642857142857142
1441,LAN,1972,2.0,31.285714285714285
1442,LAN,1973,3.0,28.5
1443,LAN,1974,2.0,27.923076923076923
1444,LAN,1975,2.5,29.142857142857142
1445,LAN,1976,3.0,27.583333333333332
1446,LAN,1977,3.0,27.857142857142858
1447,LAN,1978,3.0,26.666666666666668
1448,LAN,1979,3.0,27.88235294117647
1449,LAN,1980,3.0,27.384615384615383
1450,LAN,1981,3.0,26.0
1451,LAN,1982,3.0,27.6
1452,LAN,1983,2.0,26.5
1453,LAN,1984,3.0,27.692307692307693
1454,LAN,1985,3.0,27.857142857142858
1455,LAN,1986,3.0,28.0
1456,LAN,1987,3.0,28.555555555555557
1457,LAN,1988,3.0,29.31578947368421
1458,LAN,1989,3.0,28.944444444444443
1459,LAN,1990,4.0,28.904761904761905
1460,LAN,1991,2.5,30.5
1461,LAN,1992,3.0,30.857142857142858
1462,LAN,1993,3.0,28.933333333333334
1463,LAN,1994,4.0,28.875
1464,LAN,1995,4.0,27.095238095238095
1465,LAN,1996,3.0,28.6
1466,LAN,1997,3.0,28.3125
1467,LAN,1998,3.0,27.76
1468,LAN,1999,4.0,28.523809523809526
1469,LAN,2000,4.0,29.285714285714285
1470,LAN,2001,4.0,32.04761904761905
1471,LAN,2002,3.0,32.10526315789474
1472,LAN,2003,3.0,30.736842105263158
1473,LAN,2004,3.5,30.5
1474,LAN,2005,4.0,28.25
1475,LAN,2006,4.0,30.227272727272727
1476,LAN,2007,4.0,31.181818181818183
1477,LAN,2008,3.0,30.181818181818183
1478,LAN,2009,3.0,29.44
1479,LAN,2010,4.0,29.291666666666668
1480,LAN,2011,3.0,28.285714285714285
1481,LAN,2012,3.0,29.04
1482,LAN,2013,3.0,28.925925925925927
1483,LAN,2014,3.0,29.16
1484,LAN,2015,4.0,28.64516129032258
1485,LAN,2016,3.0,29.258064516129032
1486,LAN,2017,3.0,29.5
1487,LAN,2018,3.0,29.387096774193548
1488,LAN,2019,3.0,28.92
1489,LAN,2020,2.0,28.285714285714285
1490,LAN,2021,2.0,29.205128205128204
1491,LS1,1876,4.5,23.0
1492,LS1,1877,2.0,28.0
1493,LS2,1882,2.0,24.333333333333332
1494,LS2,1883,3.0,26.333333333333332
1495,LS2,1884,2.0,25.6
1496,LS2,1885,3.0,23.285714285714285
1497,LS2,1886,5.0,23.90909090909091
1498,LS2,1887,4.0,24.0
1499,LS2,1888,3.0,24.0
1500,LS2,1889,4.0,24.77777777777778
1501,LS2,1890,2.0,24.166666666666668
1502,LS2,1891,4.0,24.25
1503,LS3,1892,3.0,25.3
1504,LS3,1893,7.5,24.1
1505,LS3,1894,6.0,27.083333333333332
1506,LS3,1895,5.0,21.266666666666666
1507,LS3,1896,5.5,24.583333333333332
1508,LS3,1897,4.0,24.666666666666668
1509,LS3,1898,4.0,26.77777777777778
1510,LS3,1899,3.0,25.2
1511,MIA,2012,4.0,27.714285714285715
1512,MIA,2013,3.5,26.73076923076923
1513,MIA,2014,4.0,27.36
1514,MIA,2015,4.0,27.75862068965517
1515,MIA,2016,4.0,28.612903225806452
1516,MIA,2017,4.0,29.25
1517,MIA,2018,5.0,27.79310344827586
1518,MIA,2019,4.0,27.653846153846153
1519,MIA,2020,5.0,27.945945945945947
1520,MIA,2021,4.0,28.08823529411765
1521,MID,1872,5.0,24.666666666666668
1522,MIL,1998,4.0,28.391304347826086
1523,MIL,1999,4.0,28.041666666666668
1524,MIL,2000,5.0,28.458333333333332
1525,MIL,2001,4.0,28.208333333333332
1526,MIL,2002,5.0,27.68
1527,MIL,2003,4.0,28.47826086956522
1528,MIL,2004,4.0,27.636363636363637
1529,MIL,2005,3.0,28.736842105263158
1530,MIL,2006,4.0,28.666666666666668
1531,MIL,2007,4.0,29.333333333333332
1532,MIL,2008,4.0,29.85
1533,MIL,2009,5.0,30.043478260869566
1534,MIL,2010,4.0,29.84
1535,MIL,2011,3.0,29.772727272727273
1536,MIL,2012,4.0,29.434782608695652
1537,MIL,2013,3.0,28.61904761904762
1538,MIL,2014,3.0,29.333333333333332
1539,MIL,2015,3.5,27.692307692307693
1540,MIL,2016,4.0,28.555555555555557
1541,MIL,2017,4.0,28.4
1542,MIL,2018,3.0,29.433333333333334
1543,MIL,2019,4.0,29.2
1544,MIL,2020,4.0,28.25
1545,MIL,2021,4.0,29.236842105263158
1546,MIN,1961,4.0,26.36842105263158
1547,MIN,1962,4.0,26.88888888888889
1548,MIN,1963,3.0,26.77777777777778
1549,MIN,1964,4.0,27.05
1550,MIN,1965,3.0,28.066666666666666
1551,MIN,1966,3.0,27.866666666666667
1552,MIN,1967,3.0,28.833333333333332
1553,MIN,1968,2.0,27.428571428571427
1554,MIN,1969,3.0,28.2
1555,MIN,1970,3.0,27.076923076923077
1556,MIN,1971,4.0,27.357142857142858
1557,MIN,1972,2.0,26.416666666666668
1558,MIN,1973,4.0,26.692307692307693
1559,MIN,1974,4.0,26.53846153846154
1560,MIN,1975,4.0,26.307692307692307
1561,MIN,1976,3.0,27.076923076923077
1562,MIN,1977,4.0,27.666666666666668
1563,MIN,1978,3.5,27.375
1564,MIN,1979,4.0,27.533333333333335
1565,MIN,1980,4.0,28.0
1566,MIN,1981,3.5,26.857142857142858
1567,MIN,1982,4.0,26.294117647058822
1568,MIN,1983,4.0,26.357142857142858
1569,MIN,1984,3.0,27.625
1570,MIN,1985,4.0,27.647058823529413
1571,MIN,1986,4.5,28.27777777777778
1572,MIN,1987,5.0,30.823529411764707
1573,MIN,1988,3.5,31.55
1574,MIN,1989,4.0,28.304347826086957
1575,MIN,1990,3.5,27.77777777777778
1576,MIN,1991,4.0,28.25
1577,MIN,1992,3.0,27.529411764705884
1578,MIN,1993,4.0,27.3125
1579,MIN,1994,5.5,27.8125
1580,MIN,1995,5.0,27.272727272727273
1581,MIN,1996,5.0,26.22222222222222
1582,MIN,1997,4.5,28.22222222222222
1583,MIN,1998,4.0,28.88235294117647
1584,MIN,1999,4.0,26.944444444444443
1585,MIN,2000,5.0,26.647058823529413
1586,MIN,2001,5.0,27.571428571428573
1587,MIN,2002,4.0,29.31578947368421
1588,MIN,2003,4.0,30.65
1589,MIN,2004,4.5,28.333333333333332
1590,MIN,2005,3.0,27.866666666666667
1591,MIN,2006,3.0,27.0
1592,MIN,2007,4.0,27.42105263157895
1593,MIN,2008,4.0,28.263157894736842
1594,MIN,2009,4.0,28.333333333333332
1595,MIN,2010,3.0,29.095238095238095
1596,MIN,2011,4.0,28.083333333333332
